alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.15,1024,0.7000000000000001,0.10419272457339139,5.048244791274025e-07,1.0000020108669812,4.553526237177427e-09,1.9822189233156284e-11,8.876135467252619e-11,2.358369371329062e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,0.8,0.1190773995124473,5.062990948381701e-07,1.0000020141972326,3.859150456568964e-08,3.697921980421536e-09,9.168938336837064e-10,1.6042329179622676e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.8,0.1190773995124473,5.062990948381701e-07,1.0000020141972326,1.5008500677999524e-08,7.539519895614597e-10,3.2017071619193053e-10,4.4296036372533516e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.8,0.1190773995124473,5.062990948381701e-07,1.0000020141972326,9.096392866012545e-09,1.3326356226884307e-10,1.5213650001226484e-10,1.1588763463923249e-10,0.0,-2.2204460492492028e-16
0.8,0.15,1024,0.8,0.1190773995124473,5.062990948381701e-07,1.0000020141972326,5.207501795302628e-09,2.3790146777519167e-11,1.1599781607494375e-10,3.069172179598413e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,0.9,0.1339620744515032,5.07969071578636e-07,1.0000020179737448,4.343664652300358e-08,4.184623902558991e-09,1.1611638857879675e-09,2.0248648182279607e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,0.9,0.1339620744515032,5.07969071578636e-07,1.0000020179737448,1.6898418878885996e-08,8.567414961310458e-10,4.05410374232382e-10,5.588740615144359e-10,0.0,-2.2204460492492028e-16
0.8,0.15,512,0.9,0.1339620744515032,5.07969071578636e-07,1.0000020179737448,1.0240850936140227e-08,1.5331039793731752e-10,1.9266728855369087e-10,1.4614269082997887e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,0.9,0.1339620744515032,5.07969071578636e-07,1.0000020179737448,5.862867941634953e-09,2.8116670438067103e-11,1.46902426403689e-10,3.8689485370966314e-11,0.0,0.0
0.8,0.15,128,1.0,0.1488467493905591,5.098339618651793e-07,1.0000020221973562,4.828928068823207e-08,4.6790066940839295e-09,1.4345295184370449e-09,2.492571261518872e-09,0.0,-2.2204460492492028e-16
0.8,0.15,256,1.0,0.1488467493905591,5.098339618651793e-07,1.0000020221973562,1.8793235137831594e-08,9.621743746582147e-10,5.007750297827067e-10,6.87648991061082e-10,0.0,0.0
0.8,0.15,512,1.0,0.1488467493905591,5.098339618651793e-07,1.0000020221973562,1.138792817784701e-08,1.7436430267198423e-10,2.3802578778122146e-10,1.7972177852606708e-10,0.0,-4.4408920984984055e-16
0.8,0.15,1024,1.0,0.1488467493905591,5.098339618651793e-07,1.0000020221973562,6.519799666062498e-09,3.280691463915251e-11,1.8148897457896496e-10,4.755900926556578e-11,0.0,-2.2204460492492028e-16
0.8,0.15,128,1.1,0.16373142432961504,5.118932785637393e-07,1.0000020268690017,5.315024425401737e-08,5.181479526433497e-09,1.7371104807194466e-09,3.006750914986693e-09,0.0,-2.2204460492492028e-16
