alpha,rho,N,closure,threshold,Z_f,g,beta
1.2,0.15,1024,open,0.0003,75.8,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,0.0003,,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,open,0.001,83.10000000000001,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,0.001,,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,open,0.01,,0.1468434516569534,1.2010774818290246
1.2,0.15,1024,corrected,0.01,,0.1468434516569534,1.2010774818290246
1.2,0.3,128,open,1e-05,23.4,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,1e-05,33.6,0.2980904795342038,1.2001532722697053
1.2,0.3,128,open,3e-05,26.7,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,3e-05,36.1,0.2980904795342038,1.2001532722697053
1.2,0.3,128,open,0.0001,30.2,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,0.0001,39.0,0.2980904795342038,1.2001532722697053
1.2,0.3,128,open,0.0003,33.4,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,0.0003,41.5,0.2980904795342038,1.2001532722697053
1.2,0.3,128,open,0.001,37.0,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,0.001,43.9,0.2980904795342038,1.2001532722697053
1.2,0.3,128,open,0.01,43.8,0.2980904795342038,1.2001532722697053
1.2,0.3,128,corrected,0.01,47.4,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,1e-05,26.4,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,1e-05,37.9,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,3e-05,29.7,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,3e-05,39.8,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,0.0001,33.3,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,0.0001,41.7,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,0.0003,36.6,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,0.0003,43.5,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,0.001,40.2,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,0.001,45.4,0.2980904795342038,1.2001532722697053
1.2,0.3,256,open,0.01,46.2,0.2980904795342038,1.2001532722697053
1.2,0.3,256,corrected,0.01,,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,1e-05,29.0,0.2980904795342038,1.2001532722697053
1.2,0.3,512,corrected,1e-05,39.3,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,3e-05,32.3,0.2980904795342038,1.2001532722697053
1.2,0.3,512,corrected,3e-05,41.1,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,0.0001,36.0,0.2980904795342038,1.2001532722697053
1.2,0.3,512,corrected,0.0001,43.0,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,0.0003,39.3,0.2980904795342038,1.2001532722697053
1.2,0.3,512,corrected,0.0003,44.8,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,0.001,42.8,0.2980904795342038,1.2001532722697053
1.2,0.3,512,corrected,0.001,46.7,0.2980904795342038,1.2001532722697053
1.2,0.3,512,open,0.01,47.5,0.2980904795342038,1.2001532722697053
