alpha,rho,sigma,R,Nref,N,Z,closure,D_W,D_W_ci_low,D_W_ci_high,Q99_ref,Q99_finite,Delta99,Delta99_ci_low,Delta99_ci_high,M4_ref,M4_finite,paired_max_mean,paired_max_positive_fraction,panel,intensity,pdf_ref,pdf_finite,realization,max_finite,max_ref,delta_max
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,14.799754309307591,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,15.117352158859216,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,15.43495000841084,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,15.752547857962464,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,16.07014570751409,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,16.387743557065715,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,16.70534140661734,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,17.022939256168964,0.0,0.0030748397741945,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,17.34053710572059,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,17.658134955272214,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,17.97573280482384,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,18.293330654375463,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,18.610928503927088,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,18.92852635347872,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,19.246124203030337,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,19.56372205258196,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,19.881319902133587,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,20.19891775168521,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,20.51651560123684,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,20.83411345078846,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,21.15171130034009,0.0,0.0015374198870972,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,21.46930914989171,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,21.78690699944333,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,22.10450484899496,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,22.422102698546585,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,22.73970054809821,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,23.057298397649834,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,23.37489624720146,0.0015374198870972,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,23.692494096753084,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,24.01009194630471,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,24.327689795856333,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,24.64528764540796,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,24.962885494959583,0.0,0.0,,,,
,,,,,128,30.0,corrected,,,,,,,,,,,,,pdf,25.280483344511207,0.0,0.0015374198870972,,,,
