alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel,panel,g_theory,g_error,g_ratio,r2,n_points,scaled_error
0.8,0.3,256,7.4,2.2193018565520792,3.2938365370197062e-06,1.000009309632834,2.730457987495347e-07,2.386160581201813e-08,9.947677460211633e-08,2.975181626239072e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.5,2.249292422181161,3.394148550069238e-06,1.0000095865440457,2.810102570080915e-07,2.486426067515016e-08,1.0393725430018868e-07,3.067929064867256e-08,-4.4408920984984055e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.6,2.279282987810244,3.4975151173921107e-06,1.0000098720784758,2.891939283824235e-07,2.5898992163887283e-08,1.0857425021653745e-07,3.162585395970361e-08,-4.4408920984984055e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.7,2.3092735534393256,3.6040290871642654e-06,1.000010166492971,2.9760328777002005e-07,2.6966535628605692e-08,1.1339439487561336e-07,3.259175604531781e-08,-4.4408920984984055e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.8,2.339264119068408,3.713786149879753e-06,1.0000104700523649,3.062449928524087e-07,2.806763860585491e-08,1.1840456276324345e-07,3.3577247857571056e-08,-8.881784196996811e-16,-4.4408920984984055e-16,open_vs_corrected,,,,,,
0.8,0.3,256,7.9,2.36925468469749,3.826884923393645e-06,1.0000107830297158,3.15125889637844e-07,2.92030609525254e-08,1.2361187866940465e-07,3.458258064729153e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.0,2.399245250326572,3.943427040849342e-06,1.0000111057065566,3.242530181998492e-07,3.0373574960649865e-08,1.2902372655996265e-07,3.5608006101160045e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.1,2.429235815955654,4.06351724120367e-06,1.0000114383731442,3.3363361855155974e-07,3.1579965567672714e-08,1.346477583538628e-07,3.66537751950016e-08,-8.881784196996811e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.2,2.459226381584736,4.187263462757683e-06,1.000011781328721,3.432751367377514e-07,3.2823030471457994e-08,1.404919040414719e-07,3.77201379958184e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
0.8,0.3,256,8.3,2.489216947213819,4.314776939540735e-06,1.000012134881786,3.53185231055132e-07,3.4103580494027656e-08,1.465643806135643e-07,3.8807343454824934e-08,-6.661338147747608e-16,-6.661338147747608e-16,open_vs_corrected,,,,,,
