N,Z,closure,intensity,pdf_ref,pdf_finite
256,15.0,open,0.9524484167284903,0.3162341216653245,0.3162341216653245
256,15.0,open,0.9539924665844284,0.4743511824979526,0.4743511824979526
256,15.0,open,0.9555365164403664,0.7905853041632543,0.31623412166530174
256,15.0,open,0.9570805662963044,1.106819425828556,0.7905853041632543
256,15.0,open,0.9586246161522425,0.4743511824979526,0.6324682433306035
256,15.0,open,0.9601686660081805,1.106819425828556,1.5811706083265087
256,15.0,open,0.9617127158641186,1.5811706083266224,1.42305354749396
256,15.0,open,0.9632567657200565,2.213638851657112,2.8461070949877154
256,15.0,open,0.9648008155759945,3.320458277485668,2.213638851657112
256,15.0,open,0.9663448654319325,4.427277703314224,3.9529265208162716
256,15.0,open,0.9678889152878706,4.743511824979526,5.059745946644828
256,15.0,open,0.9694329651438086,5.692214189975431,4.5853947641468755
256,15.0,open,0.9709770149997465,6.166565372473827,7.905853041633112
256,15.0,open,0.9725210648556846,8.696438345795798,8.063970102465195
256,15.0,open,0.9740651147116226,8.063970102465195,9.170789528293751
256,15.0,open,0.9756091645675606,10.119491893289656,9.0126724674611
256,15.0,open,0.9771532144234987,11.384428379950862,12.80748192744472
256,15.0,open,0.9786972642794367,12.80748192744472,10.277608954122305
256,15.0,open,0.9802413141353747,11.542545440784343,15.179237839935574
256,15.0,open,0.9817853639913127,15.021120779101832,16.60229138742834
256,15.0,open,0.9833294138472507,17.234759630758944,16.60229138742834
256,15.0,open,0.9848734637031887,17.234759630758944,17.392876691591596
256,15.0,open,0.9864175135591268,18.657813178252802,16.12794020493039
256,15.0,open,0.9879615634150648,15.495471961599785,16.12794020493039
256,15.0,open,0.9895056132710027,19.60651554325012,16.444174326596873
256,15.0,open,0.9910496631269408,19.448398482416057,21.66203733407317
256,15.0,open,0.9925937129828788,21.187686151575218,24.350027368228233
256,15.0,open,0.9941377628388168,19.606515543248708,23.40132500323233
256,15.0,open,0.9956818126947549,23.87567618573028,20.08086672574666
256,15.0,open,0.9972258625506929,21.345803212407866,24.350027368228233
256,15.0,open,0.9987699124066309,24.508144429060884,23.87567618573028
256,15.0,open,1.000313962262569,22.13638851657112,20.23898378657931
256,15.0,open,1.001858012118507,23.559442064064978,20.08086672574666
256,15.0,open,1.003402061974445,20.55521790824461,20.23898378657931
256,15.0,open,1.004946111830383,21.345803212410935,16.60229138743073
256,15.0,open,1.0064901616863209,19.290281421583405,18.341579056587502
256,15.0,open,1.008034211542259,20.871452029909914,20.23898378657931
256,15.0,open,1.009578261398197,20.08086672574666,19.76463260408136
256,15.0,open,1.011122311254135,19.448398482416057,20.713334969077263
256,15.0,open,1.012666361110073,21.187686151575218,20.08086672574666
256,15.0,open,1.014210410966011,16.60229138742834,18.0253449349222
256,15.0,open,1.015754460821949,16.760408448260993,16.60229138742834
256,15.0,open,1.0172985106778871,13.914301353273276,12.333130744946768
256,15.0,open,1.0188425605338252,10.277608954122305,11.06819425828556
256,15.0,open,1.0203866103897632,11.384428379950862,13.598067231607974
256,15.0,open,1.021930660245701,11.3844283799525,12.016896623283193
256,15.0,open,1.023474710101639,8.696438345795798,7.431501859134591
