N,Z,closure,realization,max_finite,max_ref,delta_max
256,15.0,open,36,1.0194953189887028,1.019423249606803,7.206938189985301e-05
256,15.0,open,37,1.0284602123013067,1.0246477164987393,0.0038124958025673727
256,15.0,open,38,1.0141544465753445,1.0107645921274173,0.0033898544479271653
256,15.0,open,39,1.0273636967801631,1.0221641765276268,0.005199520252536338
256,15.0,open,40,1.0190673674377149,1.0175100377489976,0.001557329688717246
256,15.0,open,41,1.0294350276633204,1.0291741046269043,0.00026092303641611636
256,15.0,open,42,1.062651676058524,1.0705682307077486,-0.007916554649224583
256,15.0,open,43,1.054476158278735,1.051121054236834,0.0033551040419008693
256,15.0,open,44,1.0176047378917612,1.0162423312441524,0.0013624066476087826
256,15.0,open,45,1.0151983045551949,1.0191830818750358,-0.003984777319840926
256,15.0,open,46,1.0135294463291538,1.0119964093557232,0.001533036973430546
256,15.0,open,47,1.033083853609358,1.030662849389712,0.0024210042196459725
256,15.0,open,48,1.0459423269750372,1.044029446604324,0.0019128803707131325
256,15.0,open,49,1.020919904820594,1.016624208751063,0.004295696069530841
256,15.0,open,50,1.021510104650865,1.022016799465869,-0.000506694815004094
256,15.0,open,51,1.027474801717772,1.0265183401602387,0.0009564615575332613
256,15.0,open,52,1.0112616931659555,1.00782227722628,0.003439415939675561
256,15.0,open,53,1.0231549931097195,1.0208159346285268,0.0023390584811926463
256,15.0,open,54,1.0414786695248437,1.0380751870340923,0.003403482490751397
256,15.0,open,55,1.0097124944188713,1.0061063534276609,0.0036061409912104825
256,15.0,open,56,1.0216354121570166,1.0184922915429002,0.003143120614116368
256,15.0,open,57,1.0266455989877061,1.0293559656730178,-0.0027103666853116604
256,15.0,open,58,1.0423887051674265,1.0381297328208872,0.00425897234653938
256,15.0,open,59,1.0238016388257765,1.024100859972715,-0.0002992211469385886
256,15.0,open,60,1.0229730500941308,1.0206821061254776,0.0022909439686531474
256,15.0,open,61,1.0246676510166706,1.0242244551951165,0.00044319582155405435
256,15.0,open,62,1.0387648456685346,1.036623459277715,0.0021413863908195108
256,15.0,open,63,1.0323334145095782,1.0310210377970646,0.0013123767125136077
256,15.0,corrected,0,1.014661109426915,1.0144811649911336,0.00017994443578128738
256,15.0,corrected,1,1.0396788327537096,1.0397458655906429,-6.703283693321183e-05
256,15.0,corrected,2,1.0184047422683506,1.0184346506719384,-2.9908403587741716e-05
256,15.0,corrected,3,1.0373545520672813,1.0371964985212958,0.0001580535459855259
256,15.0,corrected,4,1.044132426686265,1.044067610131763,6.481655450207846e-05
256,15.0,corrected,5,1.018143150935091,1.018179479268468,-3.632833337707808e-05
256,15.0,corrected,6,1.027508314879626,1.0275175327059125,-9.217826286489483e-06
256,15.0,corrected,7,1.0137573984247155,1.0138113254560528,-5.392703133733079e-05
256,15.0,corrected,8,1.024582419288736,1.024688825256988,-0.00010640596825184367
256,15.0,corrected,9,1.0275977267352947,1.0274927427874527,0.00010498394784197451
256,15.0,corrected,10,1.0239588286379213,1.0241278520426553,-0.00016902340473401445
256,15.0,corrected,11,1.0206531476071838,1.0206643992535958,-1.1251646411913896e-05
256,15.0,corrected,12,1.031744596195791,1.0315966405672885,0.0001479556285024497
256,15.0,corrected,13,1.0189475420811762,1.0189066772083004,4.0864872875800984e-05
256,15.0,corrected,14,1.0336014950095078,1.033841199488881,-0.00023970447937315953
256,15.0,corrected,15,1.0157670184378824,1.0156885488511793,7.846958670310045e-05
