N,Z,closure,realization,max_finite,max_ref,delta_max
256,25.0,open,29,1.3591525503087754,1.3427884193916124,0.0163641309171629
256,25.0,open,30,1.6051468840320295,1.6165611783052525,-0.0114142942732229
256,25.0,open,31,1.3323778448651284,1.2523926325948187,0.0799852122703097
256,25.0,open,32,1.5246637498078308,1.5641496857128043,-0.0394859359049735
256,25.0,open,33,1.1634443558815422,1.1269695231005905,0.0364748327809516
256,25.0,open,34,1.487830021620013,1.4109558423354165,0.076874179284597
256,25.0,open,35,2.1542430486109123,2.0566845538210634,0.0975584947898489
256,25.0,open,36,1.31787610146427,1.374685285082072,-0.0568091836178019
256,25.0,open,37,1.6536848628683931,1.5508034150258765,0.1028814478425168
256,25.0,open,38,1.0689491119878711,1.1387424166456213,-0.0697933046577501
256,25.0,open,39,1.6199045572839994,1.4282061554600425,0.1916984018239569
256,25.0,open,40,1.2999326663279955,1.2539985638730238,0.0459341024549717
256,25.0,open,41,1.6456936669837074,1.5321071649524778,0.1135865020312296
256,25.0,open,42,3.493106522586076,3.9858377780274767,-0.4927312554414014
256,25.0,open,43,2.738850110131438,2.473038143769044,0.2658119663623943
256,25.0,open,44,1.3271891230243478,1.2599508267932022,0.0672382962311455
256,25.0,open,45,1.3007378253097883,1.396974189470179,-0.0962363641603907
256,25.0,open,46,1.209862965227412,1.1689265817592087,0.0409363834682032
256,25.0,open,47,1.6545712631010911,1.588473814045442,0.0660974490556491
256,25.0,open,48,2.1589453298363765,2.1003027049499488,0.0586426248864278
256,25.0,open,49,1.3405346813885517,1.338069774772657,0.0024649066158941
256,25.0,open,50,1.2878273369790303,1.304054759219481,-0.0162274222404508
256,25.0,open,51,1.601323471691026,1.6121431428979545,-0.0108196712069283
256,25.0,open,52,1.2330108153035535,1.153299807763988,0.0797110075395657
256,25.0,open,53,1.3526105073294288,1.2812380152580871,0.0713724920713416
256,25.0,open,54,2.054906579477913,1.879593200293643,0.17531337918427
256,25.0,open,55,1.1643348250390146,1.0646363260798537,0.0996984989591609
256,25.0,open,56,1.3309823108592884,1.2553259960841383,0.0756563147751501
256,25.0,open,57,1.5990811132736318,1.6541858115732828,-0.055104698299651
256,25.0,open,58,1.8300911350327136,1.6847141033644626,0.145377031668251
256,25.0,open,59,1.263354773503394,1.335161289972288,-0.0718065164688941
256,25.0,open,60,1.4453668309805003,1.3624247490492392,0.0829420819312611
256,25.0,open,61,1.4172339587710858,1.4150499690136775,0.0021839897574083
256,25.0,open,62,1.932993152225657,1.81409358595094,0.1188995662747172
256,25.0,open,63,1.7747366367802566,1.7281509486744868,0.0465856881057697
256,25.0,corrected,0,1.2722550288397536,1.2653556502423091,0.0068993785974442
256,25.0,corrected,1,2.04916647945222,2.045085126048772,0.004081353403448
256,25.0,corrected,2,1.410560919490757,1.4099860416646133,0.0005748778261436
256,25.0,corrected,3,1.9432381925212163,1.9333556271210248,0.0098825654001915
256,25.0,corrected,4,2.390363158264251,2.385630462392715,0.0047326958715356
256,25.0,corrected,5,1.3864783170956074,1.3828946517800405,0.0035836653155669
256,25.0,corrected,6,1.3518094168460109,1.3504766824655516,0.0013327343804592
256,25.0,corrected,7,1.0933391677331614,1.0912820398494856,0.0020571278836758
256,25.0,corrected,8,1.5140097931929186,1.513079722981922,0.0009300702109966
256,25.0,corrected,9,1.5452133955624208,1.5443848156206916,0.0008285799417291
256,25.0,corrected,10,1.4111714224691303,1.4096650304991252,0.0015063919700051
256,25.0,corrected,11,1.2731894252446985,1.2717162861050686,0.0014731391396298
256,25.0,corrected,12,1.7126014530818348,1.706797971063171,0.0058034820186634
256,25.0,corrected,13,1.2709320311041803,1.2645150787861643,0.0064169523180162
256,25.0,corrected,14,1.618178010381408,1.6233583327871526,-0.0051803224057445
256,25.0,corrected,15,1.2031295494968035,1.2026976361284187,0.0004319133683849
256,25.0,corrected,16,1.3201028226337648,1.316885462989004,0.0032173596447606
256,25.0,corrected,17,1.4472047071776155,1.4480031163383824,-0.0007984091607668
256,25.0,corrected,18,1.1724953579364583,1.1676303023212249,0.0048650556152336
256,25.0,corrected,19,1.246729892681662,1.2424539163865909,0.004275976295071
256,25.0,corrected,20,1.7214599225200913,1.7190739102269412,0.00238601229315
