Z,tau,reference_mode_amplitude,reference_max_intensity,reference_power_rel
8.0,2.399245250326572,3.943427040849342e-06,1.0000111057065566,-8.881784196996811e-16
8.1,2.429235815955654,4.06351724120367e-06,1.0000114383731442,-8.881784196996811e-16
8.2,2.459226381584736,4.187263462757683e-06,1.000011781328721,-6.661338147747608e-16
8.3,2.489216947213819,4.314776939540735e-06,1.000012134881786,-6.661338147747608e-16
8.4,2.519207512842901,4.44617230076043e-06,1.0000124993503698,-6.661338147747608e-16
8.5,2.5491980784719828,4.581567673357453e-06,1.0000128750623256,-6.661338147747608e-16
8.6,2.5791886441010647,4.721084787760296e-06,1.000013262355617,-6.661338147747608e-16
8.700000000000001,2.609179209730147,4.864849086865116e-06,1.0000136615786273,-6.661338147747608e-16
8.8,2.6391697753592296,5.012989838496114e-06,1.0000140730904714,-6.661338147747608e-16
8.9,2.669160340988312,5.165640251268767e-06,1.0000144972613187,-6.661338147747608e-16
9.0,2.699150906617393,5.3229375940458364e-06,1.0000149344727267,-6.661338147747608e-16
9.1,2.7291414722464755,5.485023319084439e-06,1.0000153851179834,-6.661338147747608e-16
9.2,2.759132037875558,5.652043188935397e-06,1.00001584960246,-6.661338147747608e-16
9.3,2.7891226035046404,5.82414740739097e-06,1.0000163283439794,-8.881784196996811e-16
9.4,2.8191131691337223,6.001490754261988e-06,1.0000168217731895,-8.881784196996811e-16
9.5,2.8491037347628043,6.184232724391054e-06,1.0000173303339517,-6.661338147747608e-16
9.6,2.8790943003918863,6.372537670874813e-06,1.000017854483735,-6.661338147747608e-16
9.7,2.9090848660209687,6.566574952756543e-06,1.0000183946940375,-6.661338147747608e-16
9.8,2.9390754316500507,6.7665190871777895e-06,1.0000189514508038,-6.661338147747608e-16
9.9,2.969065997279133,6.972549906232582e-06,1.0000195252548607,-8.881784196996811e-16
10.0,2.999056562908215,7.184852718496114e-06,1.000020116622374,-8.881784196996811e-16
10.1,3.029047128537297,7.403618475635355e-06,1.0000207260853078,-8.881784196996811e-16
10.2,3.0590376941663795,7.629043944002001e-06,1.0000213541919034,-8.881784196996811e-16
10.3,3.089028259795461,7.86133188164077e-06,1.0000220015071777,-8.881784196996811e-16
10.4,3.119018825424544,8.100691220428302e-06,1.0000226686134253,-8.881784196996811e-16
10.5,3.149009391053626,8.347337253928441e-06,1.0000233561107468,-8.881784196996811e-16
10.6,3.178999956682708,8.601491831032614e-06,1.0000240646175838,-8.881784196996811e-16
10.7,3.2089905223117903,8.863383555402659e-06,1.0000247947712808,-1.1102230246246014e-15
10.8,3.238981087940872,9.133247991025382e-06,1.000025547228656,-8.881784196996811e-16
10.9,3.2689716535699542,9.411327874056198e-06,1.0000263226665909,-8.881784196996811e-16
11.0,3.2989622191990366,9.697873331057502e-06,1.000027121782644,-8.881784196996811e-16
11.1,3.328952784828118,9.993142103944957e-06,1.000027945295671,-8.881784196996811e-16
11.2,3.358943350457201,1.0297399781863228e-05,1.000028793946481,-8.881784196996811e-16
11.3,3.388933916086283,1.061092003990608e-05,1.0000296684984935,-8.881784196996811e-16
11.4,3.418924481715365,1.0933984885370677e-05,1.000030569738432,-8.881784196996811e-16
11.5,3.4489150473444474,1.1266884911279358e-05,1.0000314984770304,-1.1102230246246014e-15
11.6,3.4789056129735294,1.1609919557759489e-05,1.0000324555497595,-8.881784196996811e-16
11.7,3.508896178602612,1.1963397381445824e-05,1.0000334418175838,-8.881784196996811e-16
11.8,3.538886744231694,1.2327636332899595e-05,1.00003445816773,-8.881784196996811e-16
11.9,3.568877309860776,1.2702964042602611e-05,1.0000355055144925,-8.881784196996811e-16
12.0,3.5988678754898578,1.3089718115625376e-05,1.000036584800048,-1.1102230246246014e-15
12.1,3.62885844111894,1.3488246435390356e-05,1.0000376969953135,-8.881784196996811e-16
12.2,3.658849006748023,1.3898907476378667e-05,1.0000388431008087,-1.3322676295495217e-15
12.3,3.6888395723771046,1.4322070626731735e-05,1.0000400241475662,-1.1102230246246014e-15
12.4,3.7188301380061866,1.4758116520423073e-05,1.0000412411980508,-1.1102230246246014e-15
12.5,3.748820703635269,1.5207437379614162e-05,1.000042495347123,-1.1102230246246014e-15
12.6,3.778811269264351,1.567043736748422e-05,1.0000437877230202,-8.881784196996811e-16
12.7,3.8088018348934334,1.6147532951742755e-05,1.0000451194883713,-8.881784196996811e-16
12.8,3.8387924005225154,1.6639153279235846e-05,1.000046491841247,-1.1102230246246014e-15
12.9,3.868782966151597,1.714574056197223e-05,1.0000479060162328,-1.1102230246246014e-15
13.0,3.8987735317806793,1.766775047479722e-05,1.0000493632855456,-1.3322676295495217e-15
13.1,3.9287640974097617,1.8205652565385893e-05,1.0000508649601727,-1.1102230246246014e-15
13.2,3.958754663038844,1.875993067653301e-05,1.000052412391057,-1.3322676295495217e-15
13.3,3.988745228667926,1.9331083381333903e-05,1.0000540069703103,-1.3322676295495217e-15
13.4,4.018735794297008,1.991962443170849e-05,1.0000556501324658,-1.3322676295495217e-15
13.5,4.04872635992609,2.05260832204754e-05,1.0000573433557705,-1.3322676295495217e-15
13.6,4.078716925555172,2.1151005257543876e-05,1.0000590881635152,-1.3322676295495217e-15
13.7,4.108707491184255,2.179495266059772e-05,1.0000608861254052,-1.3322676295495217e-15
13.8,4.138698056813337,2.2458504660705068e-05,1.000062738858972,-8.881784196996811e-16
13.9,4.168688622442419,2.3142258123392465e-05,1.0000646480310331,-8.881784196996811e-16
14.0,4.198679188071501,2.3846828085360857e-05,1.0000666153591875,-1.1102230246246014e-15
14.1,4.228669753700583,2.457284830793796e-05,1.0000686426133665,-8.881784196996811e-16
14.2,4.258660319329666,2.5320971846938057e-05,1.000070731617421,-1.1102230246246014e-15
14.3,4.288650884958748,2.6091871640286324e-05,1.0000728842507705,-1.1102230246246014e-15
14.4,4.31864145058783,2.688624111308868e-05,1.000075102450089,-1.1102230246246014e-15
14.5,4.348632016216912,2.770479480153498e-05,1.0000773882110503,-1.1102230246246014e-15
14.6,4.378622581845994,2.854826899561038e-05,1.0000797435901252,-1.1102230246246014e-15
14.7,4.4086131474750765,2.941742240131192e-05,1.0000821707064338,-1.1102230246246014e-15
14.8,4.438603713104159,3.031303682315928e-05,1.000084671743651,-1.1102230246246014e-15
14.9,4.46859427873324,3.123591786739142e-05,1.0000872489519712,-1.1102230246246014e-15
15.0,4.498584844362322,3.218689566666659e-05,1.00008990465014,-1.1102230246246014e-15
15.1,4.528575409991404,3.316682562670608e-05,1.000092641227535,-1.1102230246246014e-15
15.2,4.558565975620487,3.417658919576477e-05,1.000095461146323,-1.1102230246246014e-15
15.3,4.588556541249569,3.521709465746127e-05,1.0000983669436732,-8.881784196996811e-16
