alpha,rho,closure,N,error,beta_local
1.2,0.3,open,16384,2.3167074724975014e-05,1.200001364908235
1.2,0.3,open,32768,1.0084052590377332e-05,1.2000003412859568
1.2,0.3,corrected,64,0.0014608724516887658,
1.2,0.3,corrected,128,0.00019286242238968334,2.9211862434273965
1.2,0.3,corrected,256,2.3292218471856583e-05,3.0496521128785767
1.2,0.3,corrected,512,2.9489694213799608e-06,2.981565287946345
1.2,0.3,corrected,1024,4.482888486299324e-07,2.717710345489214
1.2,0.3,corrected,2048,8.36071138534641e-08,2.4227310053981155
1.2,0.3,corrected,4096,1.735108812199023e-08,2.2685995617119574
1.2,0.3,corrected,8192,3.728821987898384e-09,2.218234309651309
1.2,0.3,corrected,16384,8.089304461937969e-10,2.204632358540108
1.2,0.3,corrected,32768,1.759120957914214e-10,2.201160975008648
1.2,0.3,naive_periodic,64,0.01654832877146939,
1.2,0.3,naive_periodic,128,0.007486825543950859,1.1442594828501205
1.2,0.3,naive_periodic,256,0.003296630089103747,1.1833621245224886
1.2,0.3,naive_periodic,512,0.0014393438948739345,1.1955806842065222
1.2,0.3,naive_periodic,1024,0.0006269990769365297,1.1988761045921694
1.2,0.3,naive_periodic,2048,0.0002729705937852822,1.19971777632922
1.2,0.3,naive_periodic,4096,0.00011882316958694572,1.199929364977549
1.2,0.3,naive_periodic,8192,5.172142185849715e-05,1.1999823362831563
1.2,0.3,naive_periodic,16384,2.251312538165129e-05,1.1999955837576823
1.2,0.3,naive_periodic,32768,9.799414490696545e-06,1.199998895915628
1.6,0.15,open,64,0.003403518294513757,
1.6,0.15,open,128,0.0013094535837565847,1.378061943156451
1.6,0.15,open,256,0.00042662262198866704,1.6179325485171194
1.6,0.15,open,512,0.00014058154741997876,1.6015532274418336
1.6,0.15,open,1024,4.6357768625107304e-05,1.600524209511075
1.6,0.15,open,2048,1.529086552728298e-05,1.6001410540264063
1.6,0.15,open,4096,5.0439789286909994e-06,1.600035917707568
1.6,0.15,open,8192,1.6638821205440097e-06,1.6000090209236364
1.6,0.15,open,16384,5.488755464232822e-07,1.6000022571571177
1.6,0.15,open,32768,1.8106133563814288e-07,1.6000005637008596
1.6,0.15,corrected,64,0.00048349133636547997,
1.6,0.15,corrected,128,5.008765833634064e-05,3.270962968019297
1.6,0.15,corrected,256,4.646547704753562e-06,3.4302240405193594
1.6,0.15,corrected,512,4.463634618288388e-07,3.3798683778694
1.6,0.15,corrected,1024,5.120515083022943e-08,3.123858090409868
1.6,0.15,corrected,2048,7.211400652849804e-09,2.827937538200663
1.6,0.15,corrected,4096,1.132613765700848e-09,2.6706235283893984
1.6,0.15,corrected,8192,1.8439169901830856e-10,2.618810354636286
1.6,0.15,corrected,16384,3.031316540023705e-11,2.604757293647533
1.6,0.15,corrected,32768,5.005511502245903e-12,2.5983551033903596
1.6,0.15,naive_periodic,64,0.00344280288024143,
1.6,0.15,naive_periodic,128,0.0012041413935623135,1.5155787736706556
1.6,0.15,naive_periodic,256,0.0004043955207203298,1.574165884769224
1.6,0.15,naive_periodic,512,0.00013404343719744527,1.5930664310296008
1.6,0.15,naive_periodic,1024,4.4272094869235445e-05,1.5982310406334614
1.6,0.15,naive_periodic,2048,1.4608846081037852e-05,1.5995554130708762
