alpha,rho,q,lambda_inf,mi_gain
0.8,0.15,1.1074114103904023,1.8163583209495553,0.0
0.8,0.15,1.1152653920243767,1.8246976847141643,0.0
0.8,0.15,1.1231193736583511,1.8329976092015423,0.0
0.8,0.15,1.1309733552923256,1.841258228232125,0.0
0.8,0.15,1.1388273369263,1.849479673513672,0.0
0.8,0.15,1.1466813185602747,1.8576620746872867,0.0
0.8,0.15,1.154535300194249,1.8658055593720784,0.0
0.8,0.15,1.1623892818282235,1.8739102532085792,0.0
0.8,0.15,1.170243263462198,1.8819762799009114,0.0
0.8,0.15,1.1780972450961724,1.8900037612577616,0.0
0.8,0.15,1.185951226730147,1.8979928172322202,0.0
0.8,0.15,1.1938052083641215,1.905943565960493,0.0
0.8,0.15,1.201659189998096,1.913856123799558,0.0
0.8,0.15,1.2095131716320704,1.9217306053637715,0.0
0.8,0.15,1.2173671532660448,1.9295671235604896,0.0
0.8,0.15,1.2252211349000195,1.937365789624711,0.0
0.8,0.15,1.233075116533994,1.9451267131527872,0.0
0.8,0.15,1.2409290981679684,1.952850002135232,0.0
0.8,0.15,1.2487830798019428,1.9605357629886582,0.0
0.8,0.15,1.2566370614359172,1.968184100586864,0.0
0.8,0.15,1.264491043069892,1.9757951182911018,0.0
0.8,0.15,1.2723450247038663,1.9833689179795582,0.0
0.8,0.15,1.2801990063378408,1.9909056000760688,0.0
0.8,0.15,1.2880529879718152,1.9984052635780847,0.0
0.8,0.15,1.2959069696057899,2.0058680060839285,0.0
0.8,0.15,1.3037609512397643,2.0132939238193464,0.0
0.8,0.15,1.3116149328737388,2.020683111663394,0.0
0.8,0.15,1.3194689145077132,2.028035663173663,0.0
0.8,0.15,1.3273228961416876,2.0353516706108796,0.0
0.8,0.15,1.3351768777756623,2.0426312249628813,0.0
0.8,0.15,1.3430308594096367,2.0498744159680142,0.0
0.8,0.15,1.3508848410436112,2.0570813321379355,0.0
0.8,0.15,1.3587388226775856,2.06425206077987,0.0
0.8,0.15,1.36659280431156,2.071386688018313,0.0
0.8,0.15,1.3744467859455347,2.0784852988162266,0.0
0.8,0.15,1.3823007675795091,2.085547976995697,0.0
0.8,0.15,1.3901547492134836,2.0925748052581183,0.0
0.8,0.15,1.398008730847458,2.0995658652038847,0.0
0.8,0.15,1.4058627124814325,2.106521237351621,0.0
0.8,0.15,1.4137166941154071,2.1134410011569615,0.0
0.8,0.15,1.4215706757493816,2.120325235030869,0.0
0.8,0.15,1.429424657383356,2.127174016357557,0.0
0.8,0.15,1.4372786390173304,2.133987421511974,0.0
0.8,0.15,1.4451326206513049,2.140765525876883,0.0
0.8,0.15,1.4529866022852795,2.1475084038595673,0.0
0.8,0.15,1.460840583919254,2.154216128908133,0.0
0.8,0.15,1.4686945655532284,2.1608887735274553,0.0
0.8,0.15,1.4765485471872029,2.167526409294759,0.0
