alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,0.3534291735288518,0.7967353950629199,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3612831551628262,0.8102369555385687,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3691371367968007,0.8236524704287997,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3769911184307752,0.8369835468459725,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3848451000647497,0.8502317183182662,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.3926990816987242,0.8633984495853577,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4005530633326986,0.8764851409919325,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4084070449666731,0.8894931325199711,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4162610266006476,0.902423707495875,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4241150082346221,0.9152780960042924,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4319689898685966,0.9280574780368304,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4398229715025711,0.940762986400702,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4476769531365455,0.9533957094095432,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.45553093477052,0.9659566933762668,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4633849164044945,0.978446944925654,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.471238898038469,0.9908674331425708,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.4790928796724435,1.003219091570013,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
